node_id,node_name,flow,levels,module_level1,module_level2,module_level3,node_id_original,FeedingType,Mobility,Environment
1,Phaeocystis pouchetii,0.00330859,2,1,4,5,1,none,1,pelagic
2,Chaetoceros socialis,0.00248198,2,1,4,11,2,none,1,pelagic
3,Thalassiosira nordenskioeldii,0.00248198,2,1,4,12,3,none,1,pelagic
4,Fragilariopsis,0.00248198,2,1,4,13,4,none,1,pelagic
5,Protoperidinium,0.00330859,2,1,4,6,5,none,1,pelagic
6,Gymnodinium,0.00330859,2,1,4,7,6,none,1,pelagic
7,Dinobryon balticum,0.00248198,2,1,4,14,7,none,2,pelagic
8,Thalassiosira antarctica,0.00248198,2,1,4,15,8,none,1,pelagic
9,Cylindrotheca closterium,0.00248198,2,1,4,16,9,none,1,pelagic
10,Chaetoceros,0.00248198,2,1,4,17,10,none,1,pelagic
11,Coccolithus pleagicus,0.00248198,2,1,4,18,11,none,1,pelagic
12,Globoquadriana pachyderma,0.00248198,2,1,4,19,12,none,1,pelagic
13,Globigerinita bradyi,0.00248198,2,1,4,20,13,none,1,pelagic
14,Globigerina quinqueloba,0.00248198,2,1,4,21,14,none,1,pelagic
15,Nitzschia frigida,0.00248198,2,1,4,22,15,none,1,pelagic
16,Pleurosigma stuxbergii,0.00248198,2,1,4,23,16,none,1,pelagic
17,Navicula pelagica,0.00330859,2,1,4,8,17,none,1,pelagic
18,Entomoneis,0.00330859,2,1,4,9,18,none,1,pelagic
19,Cocconeis,0.00330859,2,1,4,10,19,none,1,pelagic
20,Dinophysis acuta,0.00248198,2,1,4,24,20,none,1,pelagic
21,Gyrodinium,NA,NA,NA,NA,NA,21,predator,2,pelagic
22,Calanus finnmarchicus,0.0121512,2,1,2,1,22,predator,4,pelagic
23,Onacea borealis,0.00538097,2,1,4,1,23,predator,4,pelagic
24,Bradyidius similis,0.00538097,2,1,4,2,24,predator,4,pelagic
25,Microcalanus pusillus,0.00398254,2,1,4,4,25,predator,4,pelagic
26,Copepoda nauplii,0.00530821,1,3,2,NA,26,predator,4,pelagic
27,Metridia longa,0.00585275,2,1,2,12,27,predator,4,pelagic
28,Metridia lucens,0.0119434,2,1,2,2,28,predator,4,pelagic
29,Calanus glacialis,0.00703335,2,1,2,8,29,predator,4,pelagic
30,Calanus hyperboreus,0.00516615,2,1,2,13,30,predator,4,pelagic
31,Pseudocalanus,0.00462386,1,2,5,NA,31,predator,4,pelagic
32,Oithona similis,0.00462386,1,2,6,NA,32,predator,4,pelagic
33,Fritillaria,0.00200828,2,1,2,17,33,predator,4,pelagic
34,Clione limacina,0.00506937,1,3,3,NA,34,predator,4,pelagic
35,Limacina helicina,0.00322326,1,3,4,NA,35,predator,4,pelagic
36,Gaidius tenuispinus,0.00140373,1,2,11,NA,36,predator,4,pelagic
37,Xanthocalanus,0.00140373,1,2,12,NA,37,predator,4,pelagic
38,Thysanoessa raschii,0.00862792,2,1,2,3,38,predator,4,pelagic
39,Thysanoessa longicaudata,0.00862792,2,1,2,4,39,predator,4,pelagic
40,Thysanoessa inermis,0.00749597,1,2,3,NA,40,grazer,4,epipelagic/ice associated
41,Themisto libellula,0.00148885,1,2,8,NA,41,predator,4,pelagic
42,Themisto abyssorum,0.00148885,1,2,9,NA,42,predator,4,pelagic
43,Boremysis arctica,0.00148885,1,2,10,NA,43,predator,4,pelagic
44,Neoscolecithrix farrani,0.00403947,2,1,7,1,44,grazer,4,benthic
45,Mertensia ovum,0.00148885,2,1,2,25,45,predator,4,pelagic
46,Beroe cucumis,0.00198271,2,1,2,18,46,predator,4,pelagic
47,Meganyctiphanes norvegica,0.00749597,2,1,2,7,47,predator,4,pelagic
48,Boreomysis arctica,0.00200339,2,1,7,7,48,predator,4,benthic
49,Fucus distichus,0.00768254,2,1,1,4,49,none,1,benthic
50,Pylaiella littoralis,0.00676723,2,1,1,8,50,none,1,benthic
51,Chordaria flagelliformis,0.00676723,2,1,1,7,51,none,1,benthic
52,Acrosiphonia,0.00676723,2,1,1,17,52,none,1,benthic
53,Alaria esculenta,0.00676723,2,1,1,6,53,none,1,benthic
54,Laminaria saccharina,0.0134342,2,1,1,1,54,none,1,benthic
55,Laminaria digitata,0.0108288,2,1,1,2,55,none,1,benthic
56,Saccorhiza dermatodea,0.0072589,2,1,1,5,56,none,1,benthic
57,Laminaria solidungula,0.00817462,2,1,1,3,57,none,1,benthic
58,Phycodrys rubens,0.00676723,2,1,1,9,58,none,1,benthic
59,Ptilta gunneri,0.00676723,2,1,1,10,59,none,1,benthic
60,Fimbrifolium dichotomum,0.00676723,2,1,1,11,60,none,1,benthic
61,Desmarestia aculeata,0.00676723,2,1,1,12,61,none,1,benthic
62,Palmaria palmata,0.00676723,2,1,1,13,62,none,1,benthic
63,Devaleraea ramentacea,0.00676723,2,1,1,14,63,none,1,benthic
64,Turnerella pennyi,0.00676723,2,1,1,15,64,none,1,benthic
65,Desmarestia viridis,0.00676723,2,1,1,16,65,none,1,benthic
66,Balanus balanus,9.33367e-4,2,1,11,1,66,suspension feeder,1,benthic
67,Semibalanus balanoides,9.33367e-4,2,1,11,2,67,suspension feeder,1,benthic
68,Littorina saxatilis,0.00148154,2,1,1,23,68,predator,2,benthic
69,Ischyroceros,9.28644e-4,2,1,7,20,69,grazer,3,benthic
70,Gammarus setosus,9.28644e-4,2,1,7,21,70,grazer,3,benthic
71,Gammarellus homari,4.17016e-4,1,2,16,NA,71,predator,3,benthic
72,Onisimus littoralis,4.17016e-4,2,1,2,29,72,grazer,3,benthic
73,Anonyx nugax,4.17016e-4,1,2,17,NA,73,predator,3,benthic
74,Anonyx sarsi,4.17016e-4,1,2,18,NA,74,predator,3,benthic
75,Arrhis phyllonyx,4.17016e-4,1,2,19,NA,75,predator,3,benthic
76,Brachydiastylis resima,4.17016e-4,2,1,2,30,76,grazer,3,benthic
77,Caprella septentrionalis,4.17016e-4,2,1,2,31,77,grazer,3,benthic
78,Corophium crassicorne,4.17016e-4,2,1,2,32,78,grazer,3,benthic
79,Diastylis goodsiri,0.00236587,2,1,7,3,79,grazer,3,benthic
80,Diastylis lucifera,0.00236587,2,1,7,4,80,grazer,3,benthic
81,Diastylis rathkii,0.00236587,2,1,7,5,81,grazer,3,benthic
82,Eryhtrops erythropthalma,4.17016e-4,2,1,2,33,82,grazer,3,benthic
83,Eualus gaimardi,4.17016e-4,2,1,11,3,83,predator,3,benthic
84,Halirages fulvocinctus,9.16268e-4,2,1,7,22,84,grazer,3,benthic
85,Hyas araneus,0.00182433,2,1,1,19,85,predator,3,benthic
86,Ischyrocerus anguipes,0.00190572,2,1,7,8,86,grazer,3,benthic
87,Janira,0.00310897,2,1,7,2,87,grazer,3,benthic
88,Lamprops fuscatus,0.00190572,2,1,7,9,88,grazer,3,benthic
89,Lebbeus polaris,0.00759458,2,1,2,6,89,predator/scavenger,3,benthic
90,Melita dentata,8.94843e-4,2,1,7,25,90,grazer,3,benthic
91,Melita formosa,8.94843e-4,2,1,7,26,91,grazer,3,benthic
92,Melita palmata,8.94843e-4,2,1,7,27,92,grazer,3,benthic
93,Monoculodes borealis,4.17016e-4,1,2,20,NA,93,predator/scavenger,3,benthic
94,Monoculodes longirostris,4.17016e-4,2,1,2,39,94,predator/scavenger,3,benthic
95,Munna,8.94843e-4,2,1,7,28,95,grazer,3,benthic
96,Munnopsis,4.17016e-4,2,1,2,34,96,grazer,3,benthic
97,Mysis oculata,4.17016e-4,2,1,2,35,97,grazer,3,benthic
98,Onisimus caricus,4.17016e-4,2,1,2,36,98,grazer,3,benthic
99,Onisimus edwardsi,4.17016e-4,2,1,2,37,99,grazer,3,benthic
100,Orchomenella minuta,4.17016e-4,2,1,2,38,100,grazer,3,benthic
101,Pagurus pubescens,0.0013342,2,1,5,15,101,predator/scavenger,3,benthic
102,Pandalus borealis,0.0086591,1,2,2,NA,102,predator,3,benthic
103,Parapleustes assimilis,4.17016e-4,2,1,7,29,103,predator/scavenger,3,benthic
104,Parapleustes bicuspis,0.00139976,2,1,7,10,104,predator/scavenger,3,benthic
105,Parapleustes monocuspis,0.00139976,2,1,7,11,105,predator/scavenger,3,benthic
106,Paroediceros lynceus,0.00139976,2,1,7,12,106,predator/scavenger,3,benthic
107,Pleustes panoplus,0.00139976,2,1,7,13,107,predator/scavenger,3,benthic
108,Pleusymtes glabroides,0.00139976,2,1,7,14,108,grazer,3,benthic
109,Pontoporeia femorata,0.00139976,2,1,7,15,109,grazer,3,benthic
110,Rhachotropis inflata,0.00139976,2,1,7,16,110,grazer,3,benthic
111,Spirontocaris spinus,0.00139976,2,1,7,17,111,predator/scavenger,3,benthic
112,Spirontocaris turgida,0.00139976,2,1,3,2,112,predator/scavenger,3,benthic
113,Stilomysis grandis,0.00139976,2,1,7,18,113,grazer,3,benthic
114,Syrrhoe crenulata,0.00139976,2,1,3,3,114,predator/scavenger,3,benthic
115,Tanaidacea,0.00397508,2,1,6,9,115,grazer,3,benthic
116,Unciola leucopis,9.16268e-4,2,1,7,23,116,grazer,3,benthic
117,Weyprechtia pinguis,9.16268e-4,2,1,7,24,117,grazer,3,benthic
118,Haliclona,0.00552273,2,1,6,3,118,suspension feeder,1,benthic
119,Aglaophamus malmgreni,0.00132759,2,1,5,34,119,predator,2,benthic
120,Ampharete finmarchica,0.0018015800000000001,2,1,5,11,120,grazer,2,benthic
121,Brada inhabilis,0.00132759,2,1,5,33,121,grazer,2,benthic
122,Brada villosa,0.00132759,2,1,5,32,122,grazer,2,benthic
123,Bylgides elegans,0.00132759,2,1,5,24,123,predator/scavenger,2,benthic
124,Bylgides groenlandica,0.00132759,2,1,5,23,124,predator/scavenger,2,benthic
125,Capitella capitata,0.00132759,2,1,5,22,125,grazer,2,benthic
126,Chaetozone,0.00132759,2,1,5,21,126,grazer,2,benthic
127,Chone,0.00132759,2,1,5,19,127,grazer,2,benthic
128,Circeis,0.00132759,2,1,5,18,128,grazer,2,benthic
129,Cossura longocirrata,0.00132759,2,1,5,16,129,grazer,2,benthic
130,Diplocirrus hirsutus,0.00132759,2,1,5,20,130,grazer,2,benthic
131,Eteone,0.00204057,2,1,5,10,131,grazer,2,benthic
132,Euchone,0.00132759,2,1,5,17,132,grazer,2,benthic
133,Gattyana cirrhosa,0.00132759,2,1,6,15,133,predator,2,benthic
134,Glycera capitata,0.00364135,2,1,6,11,134,predator,2,benthic
135,Harmothoe imbricata,0.00473711,2,1,6,8,135,predator,2,benthic
136,Heteromastus filiformis,0.00470779,2,1,5,2,136,grazer,2,benthic
137,Leitoscoloplos mammosus,0.00411211,2,1,5,5,137,grazer,2,benthic
138,Levinsenia gracilis,0.00411211,2,1,5,3,138,grazer,2,benthic
139,Lumbrineris,0.00411211,1,2,7,NA,139,predator,2,benthic
140,Lysippe labiata,0.00411211,2,1,5,4,140,grazer,2,benthic
141,Nephtys ciliata,0.00529046,1,2,4,NA,141,predator,2,benthic
142,Nereimyra punctata,0.00577395,2,1,5,1,142,grazer,2,benthic
143,Nereis zonata,0.00577395,2,1,6,2,143,predator,2,benthic
144,Pholoe assimilis,0.00325575,2,1,5,6,144,grazer,2,benthic
145,Phyllodoce,0.00631456,2,1,6,1,145,grazer,2,benthic
146,Polydora,0.00278175,2,1,5,7,146,grazer,2,benthic
147,Prionospio cirrifera,0.00132759,2,1,5,25,147,grazer,2,benthic
148,Sabellides octocirrata,0.00132759,2,1,5,26,148,grazer,2,benthic
149,Samytha sexcirrata,0.00132759,2,1,5,27,149,grazer,2,benthic
150,Scoletoma fragilis,0.00132759,2,1,5,28,150,grazer,2,benthic
151,Scoloplos armiger,0.00132759,2,1,5,29,151,grazer,2,benthic
152,Spio,0.00132759,2,1,5,30,152,grazer,2,benthic
153,Terebellides stroemi,0.00132759,2,1,5,31,153,grazer,2,benthic
154,Thelepus cincinnatus,0.00138227,2,1,5,13,154,grazer,2,benthic
155,Halicryptus spinulosus,0.00130996,2,1,6,16,155,suspension feeder,2,benthic
156,Priapulus caudatus,0.00484276,2,1,6,6,156,suspension feeder,2,benthic
157,Sipunculida,0.00484276,2,1,6,7,157,grazer,2,benthic
158,Pycnogonida,4.23643e-4,2,1,9,2,158,predator,3,benthic
159,Chaetoderma,4.23643e-4,2,1,5,35,159,grazer,2,benthic
160,Tonicella marmorea,4.23643e-4,2,1,1,29,160,grazer,2,benthic
161,Tonicella rubra,4.23643e-4,2,1,1,30,161,grazer,2,benthic
162,Boreocingula castanea,4.15081e-4,2,1,9,3,162,predator,2,benthic
163,Boreotrophon truncatus,4.15081e-4,2,1,1,31,163,predator,2,benthic
164,Buccinum scalariforme,9.0521e-4,2,1,1,25,164,predator,2,benthic
165,Buccinum terranovae,9.0521e-4,2,1,1,26,165,predator,2,benthic
166,Buccinum undatum,9.0521e-4,2,1,1,27,166,predator,2,benthic
167,Cylichna cf. alba,4.15081e-4,1,2,21,NA,167,predator,2,benthic
168,Cylichna cf. oculata,8.60548e-4,1,2,13,NA,168,predator,2,benthic
169,Elachisina globuloides,8.60548e-4,1,2,14,NA,169,predator,2,benthic
170,Erginus rubellus,8.60548e-4,2,1,1,28,170,predator,2,benthic
171,Euspira pallida,8.60548e-4,1,2,15,NA,171,predator,2,benthic
172,Frigidoalvania cruenta,8.60548e-4,2,1,9,1,172,predator,2,benthic
173,Lepeta caeca,4.15081e-4,1,2,22,NA,173,predator,2,benthic
174,Margarites groenlandicus,4.15081e-4,2,1,9,4,174,predator,2,benthic
175,Margarites helicinus,4.15081e-4,2,1,9,5,175,predator,2,benthic
176,Menestho albula,4.15081e-4,2,1,9,6,176,predator,2,benthic
177,Menestho truncatula,4.15081e-4,2,1,9,7,177,predator,2,benthic
178,Oenopota impressa,4.15081e-4,2,1,9,8,178,predator,2,benthic
179,Philine,0.00394789,2,1,1,18,179,predator,2,benthic
180,Puncturella noachina,4.15081e-4,2,1,6,17,180,predator,2,benthic
181,Retusa obtusata,4.15081e-4,2,1,6,18,181,predator,2,benthic
182,Solariella varicosa,4.15081e-4,2,1,9,9,182,predator,2,benthic
183,Trophon clathratus,0,2,1,1,32,183,grazer,2,benthic
184,Arctinula groenlandica,0,1,4,1,NA,184,suspension feeder,1,benthic
185,Astarte borealis,4.83342e-4,2,1,8,17,185,suspension feeder,1,benthic
186,Astarte montagui,4.83342e-4,2,1,8,18,186,suspension feeder,1,benthic
187,Axinopsida orbiculata,9.06985e-4,2,1,8,13,187,suspension feeder,1,benthic
188,Boreacola maltzani,9.06985e-4,2,1,8,14,188,suspension feeder,1,benthic
189,Ciliatocardium ciliatum,9.06985e-4,2,1,8,15,189,suspension feeder,1,benthic
190,Diplodonta torelli,9.06985e-4,2,1,8,16,190,suspension feeder,1,benthic
191,Ennucula tenuis,4.83342e-4,2,1,8,19,191,suspension feeder,1,benthic
192,Hiatella arctica,4.83342e-4,2,1,8,20,192,suspension feeder,1,benthic
193,Liocyma fluctuosa,4.83342e-4,2,1,8,21,193,suspension feeder,1,benthic
194,Lyonsia arenosa,4.83342e-4,2,1,8,22,194,suspension feeder,1,benthic
195,Macoma calcarea,0.00181712,2,1,8,2,195,suspension feeder,1,benthic
196,Macoma moesta,0.00181712,2,1,8,3,196,suspension feeder,1,benthic
197,Musculus corrugatus,9.29675e-4,2,1,8,5,197,suspension feeder,1,benthic
198,Musculus discors,9.29675e-4,2,1,8,6,198,suspension feeder,1,benthic
199,Mya truncata,0.00179676,2,1,2,19,199,suspension feeder,1,benthic
200,Nuculana minuta,0.00140173,2,1,8,4,200,suspension feeder,1,benthic
201,Nuculana pernula,9.29675e-4,2,1,8,7,201,suspension feeder,1,benthic
202,Pandora glacialis,9.29675e-4,2,1,8,8,202,suspension feeder,1,benthic
203,Serripes groenlandicus,4.83342e-4,2,1,8,23,203,suspension feeder,1,benthic
204,Thracia myopsis,4.83342e-4,2,1,8,24,204,suspension feeder,1,benthic
205,Thyasira dunbari,4.83342e-4,2,1,8,25,205,suspension feeder,1,benthic
206,Thyasira gouldi,4.83342e-4,2,1,8,26,206,suspension feeder,1,benthic
207,Yoldia hyperborea,9.24628e-4,2,1,8,9,207,suspension feeder,1,benthic
208,Yoldiella frigida,9.24628e-4,2,1,8,10,208,suspension feeder,1,benthic
209,Yoldiella lenticula,9.24628e-4,2,1,8,11,209,suspension feeder,1,benthic
210,Yoldiella solidula,9.24628e-4,2,1,8,12,210,suspension feeder,1,benthic
211,Ophiocten sericeum,0.00316576,2,1,6,12,211,suspension feeder,2,benthic
212,Ophiopholis aculeata,0.00376143,2,1,10,1,212,predator,2,benthic
213,Ophiura robusta,0.00376143,2,1,6,10,213,predator,2,benthic
214,Strongylocentrotus pallidus,0.00180053,2,1,1,20,214,grazer,2,benthic
215,Strongylocentrotus droebachiensis,0.00180053,2,1,1,21,215,grazer,2,benthic
216,Crossaster papposus,0.00137688,2,1,5,14,216,predator,2,benthic
217,Henricia,0.00180053,2,1,1,22,217,predator,2,benthic
218,Styela rustica,0.00155062,2,1,6,14,218,suspension feeder,1,benthic
219,Halocynthia pyriformis,0.00201786,2,1,6,13,219,suspension feeder,1,benthic
220,Urticina eques,0.00516984,2,1,6,4,220,suspension feeder,1,benthic
221,Hormathia nodosa,0.00516984,2,1,6,5,221,suspension feeder,1,benthic
222,Sabinea septemcarinata,0.00689171,2,1,2,9,222,predator,3,benthopelagic
223,Sclerocrangon boreas,0.00403365,2,1,4,3,223,predator/scavenger,3,benthopelagic
224,Boreogadus saida,0.00784794,2,1,2,5,224,predator,4,benthopelagic
225,Gadus morhua,0.00127542,2,1,2,26,225,predator,4,benthic
226,Reinhardtius hipoglossoides,0.00641033,2,1,2,11,226,predator,4,benthopelagic
227,Hipoglossoides platessoides,0.00169243,2,1,5,12,227,predator,4,benthic
228,Lycodes,0.00214113,2,1,7,6,228,predator,4,benthic
229,Sebastes mentella,0.00682387,2,1,2,10,229,predator,4,benthopelagic
230,Liparis liparis,0.00263126,2,1,5,9,230,predator,4,benthic
231,Anisarchus medius,0.00214113,2,1,2,16,231,predator,4,benthic
232,Lumpenus lampretaeformis,0.00263126,2,1,8,1,232,predator,4,benthic
233,Leptagonus decagonus,0.00263126,2,1,5,8,233,predator,4,benthic
234,Leptoclinus maculatus,0.00216277,2,1,2,14,234,predator,4,benthic
235,Liparis fabricii,0.00216277,2,1,2,15,235,predator,4,benthic
236,Artediellus europeus,0.00171408,2,1,2,20,236,predator,4,benthic
237,Careproctus reinhardti,0.00171408,2,1,2,21,237,predator,4,benthic
238,Sebastes marinus,0.00171408,2,1,2,22,238,predator,4,benthic
239,Mallotus villosus,0.00171408,2,1,2,23,239,predator,4,benthic
240,Eumicotremus derjugini,0.00171408,2,1,2,24,240,predator,4,benthic
241,Raja clavata,0.00122395,2,1,1,24,241,predator,4,benthic
242,Myoxocephalus scorpius,0.00122395,2,1,2,28,242,predator,4,benthic
243,Anarhichas lupus,0.00122395,2,1,2,27,243,predator,4,benthic
244,Gymnocanthus tricuspis,0.00122395,2,1,7,19,244,predator,4,benthic
245,Pusa hispida,4.03465e-4,2,1,2,43,245,predator,4,land-based/pelagic
246,Erignathus barbatus,4.03465e-4,2,1,2,40,246,predator,4,land-based/pelagic
247,Phoca vitulina,4.03465e-4,2,1,2,41,247,predator,4,land-based/pelagic
248,Odobenus rosmarus,4.03465e-4,2,1,8,27,248,predator,4,benthopelagic
249,Dephinapterus leucas,0,2,1,2,44,249,predator,4,benthopelagic
250,Balaenoptera acutorostrata,4.03465e-4,2,1,2,42,250,predator,4,benthopelagic
251,Calidris maritima,0,2,1,2,45,251,predator,4,land-based/pelagic
252,Somateria mollissima,0,2,1,1,33,252,predator,4,land-based/pelagic
253,Alle alle,0,2,1,2,46,253,predator,4,land-based/pelagic
254,Cepphus grylle,0,2,1,2,47,254,predator,4,land-based/pelagic
255,Fulmarus glacialis,0,2,1,2,48,255,predator,4,land-based/pelagic
256,Rissa tridactyla,0,2,1,2,49,256,predator,4,land-based/pelagic
257,Larus hyperboreus,0,2,1,2,50,257,predator,4,land-based/pelagic
258,Sterna paradisaea,0,2,1,2,51,258,predator,4,land-based/pelagic
259,Ursus maritimus,0,2,1,2,52,259,predator,4,land-based/pelagic
260,POM,0.0681382,1,3,1,NA,260,none,1,none
261,Phytodetritus,0.195803,1,2,1,NA,261,none,1,none
262,Sediment,0.10453900000000001,2,1,3,1,262,none,1,none
